"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2088302";"";"8-(3-Fluorophenoxymethyl)Caffeine";"Small molecule";"";"318.31";"3";"3";"0.69";"71.05";"7";"0";"0";"3";"N";"0.71";"None";"None";"1.24";"1.24";"3";"MOL";"-1";"23";"7";"0";"0";"318.1128";"-1.79";"NEUTRAL";"C15H15FN4O3";"Cn1c(=O)c2c(nc(COc3cccc(F)c3)n2C)n(C)c1=O";"ZVEAXKRWYOFYHK-UHFFFAOYSA-N"
"CHEMBL1927674";"";"8-(Cyclopentylsulfanyl)Caffeine";"Small molecule";"";"294.38";"3";"3";"1.01";"61.82";"7";"0";"0";"2";"N";"0.83";"None";"None";"1.91";"1.91";"2";"MOL";"-1";"20";"6";"0";"0";"294.1150";"-1.34";"NEUTRAL";"C13H18N4O2S";"Cn1c(=O)c2c(nc(SC3CCCC3)n2C)n(C)c1=O";"DDQHPTIHOOJDCZ-UHFFFAOYSA-N"
"CHEMBL2088309";"";"8-[(Phenylsulfanyl)Methyl]Caffeine";"Small molecule";"";"316.39";"5";"7";"1.26";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"1.57";"1.57";"3";"MOL";"-1";"22";"6";"0";"0";"316.0994";"-1.57";"NEUTRAL";"C15H16N4O2S";"Cn1c(=O)c2c(nc(CSc3ccccc3)n2C)n(C)c1=O";"YVPZIZHNADXQNO-UHFFFAOYSA-N"
"CHEMBL520170";"";"8-(3-Trifluoromethylphenyl)Caffeine";"Small molecule";"";"338.29";"1";"1";"1.66";"61.82";"6";"0";"0";"1";"N";"0.68";"None";"None";"2.36";"2.36";"3";"MOL";"-1";"24";"6";"0";"0";"338.0991";"-1.56";"NEUTRAL";"C15H13F3N4O2";"Cn1c(=O)c2c(nc(-c3cccc(C(F)(F)F)c3)n2C)n(C)c1=O";"VGUVWRGVEJZQLB-UHFFFAOYSA-N"
"CHEMBL489391";"";"";"Small molecule";"";"340.36";"2";"4";"1.84";"61.82";"6";"0";"0";"3";"N";"0.68";"None";"None";"2.69";"2.69";"3";"MOL";"-1";"25";"6";"0";"0";"340.1336";"-0.92";"NEUTRAL";"C18H17FN4O2";"Cn1c(=O)c2c(nc(/C=C/C=C/c3cccc(F)c3)n2C)n(C)c1=O";"PAJAMQUTBUEFEH-HOZCHFDZSA-N"
"CHEMBL2088311";"";"8-{[(3-Bromophenyl)Sulfanyl]Methyl}Caffeine";"Small molecule";"";"395.28";"3";"3";"2.03";"61.82";"7";"0";"0";"3";"N";"0.64";"None";"None";"2.34";"2.34";"3";"MOL";"-1";"23";"6";"0";"0";"394.0099";"-1.66";"NEUTRAL";"C15H15BrN4O2S";"Cn1c(=O)c2c(nc(CSc3cccc(Br)c3)n2C)n(C)c1=O";"IDHVADDUKGCQIO-UHFFFAOYSA-N"
"CHEMBL2206101";"";"8-(Benzylsulfinyl)Caffeine";"Small molecule";"";"332.38";"3";"3";"0.28";"84.88";"7";"0";"0";"3";"N";"0.64";"None";"None";"0.75";"0.75";"3";"MOL";"-1";"23";"7";"0";"0";"332.0943";"-0.73";"NEUTRAL";"C15H16N4O3S";"Cn1c(=O)c2c(nc([S+]([O-])Cc3ccccc3)n2C)n(C)c1=O";"YWZIDBWDMRCUPS-UHFFFAOYSA-N"
"CHEMBL484470";"";"8-(3-Chlorophenyl)Caffeine";"Small molecule";"";"304.74";"2";"2";"1.29";"61.82";"6";"0";"0";"1";"N";"0.68";"None";"None";"2.08";"2.08";"3";"MOL";"-1";"21";"6";"0";"0";"304.0727";"-1.57";"NEUTRAL";"C14H13ClN4O2";"Cn1c(=O)c2c(nc(-c3cccc(Cl)c3)n2C)n(C)c1=O";"APTGRJSLXXQGSM-UHFFFAOYSA-N"
"CHEMBL602466";"";"8-[(3-Trifluoromethyl)Benzyloxy]Caffeine";"Small molecule";"";"368.31";"3";"11";"1.57";"71.05";"7";"0";"0";"3";"N";"0.70";"None";"None";"2.58";"2.58";"3";"MOL";"-1";"26";"7";"0";"0";"368.1096";"-1.37";"NEUTRAL";"C16H15F3N4O3";"Cn1c(=O)c2c(nc(OCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O";"MJKQEGLZEOPZNY-UHFFFAOYSA-N"
"CHEMBL1927680";"";"";"Small molecule";"";"314.35";"2";"2";"0.02";"86.74";"8";"1";"0";"4";"N";"0.73";"None";"5.41";"0.44";"0.43";"3";"MOL";"-1";"23";"8";"1";"0";"314.1491";"-1.73";"NEUTRAL";"C15H18N6O2";"Cn1c(=O)c2c(nc(NCCc3ccccn3)n2C)n(C)c1=O";"CGCZBTMVCJBVGK-UHFFFAOYSA-N"
"CHEMBL2206102";"";"8-[(Phenylpropyl)Sulfanyl]Caffeine";"Small molecule";"";"344.44";"4";"4";"1.70";"61.82";"7";"0";"0";"5";"N";"0.52";"None";"None";"3.12";"3.12";"3";"MOL";"-1";"24";"6";"0";"0";"344.1307";"-1.45";"NEUTRAL";"C17H20N4O2S";"Cn1c(=O)c2c(nc(SCCCc3ccccc3)n2C)n(C)c1=O";"AYQZKQHEXAMKFR-UHFFFAOYSA-N"
"CHEMBL2088308";"";"8-(4-Fluorophenoxymethyl)Caffeine";"Small molecule";"";"318.31";"5";"6";"0.69";"71.05";"7";"0";"0";"3";"N";"0.71";"None";"None";"1.24";"1.24";"3";"MOL";"-1";"23";"7";"0";"0";"318.1128";"-1.63";"NEUTRAL";"C15H15FN4O3";"Cn1c(=O)c2c(nc(COc3ccc(F)cc3)n2C)n(C)c1=O";"XKYBJTZRSMYEDZ-UHFFFAOYSA-N"
