"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2088300";"";"8-(3-Chlorophenoxymethyl)Caffeine";"Small molecule";"";"334.76";"2";"2";"1.20";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"1.70";"1.70";"3";"MOL";"-1";"23";"7";"0";"0";"334.0833";"-1.72";"NEUTRAL";"C15H15ClN4O3";"Cn1c(=O)c2c(nc(COc3cccc(Cl)c3)n2C)n(C)c1=O";"PNBDKQGFYNGWPY-UHFFFAOYSA-N"
"CHEMBL2206107";"";"";"Small molecule";"";"364.86";"3";"11";"1.96";"61.82";"7";"0";"0";"4";"N";"0.66";"None";"None";"3.28";"3.28";"3";"MOL";"-1";"24";"6";"0";"0";"364.0761";"-1.69";"NEUTRAL";"C16H17ClN4O2S";"Cn1c(=O)c2c(nc(SCCc3ccc(Cl)cc3)n2C)n(C)c1=O";"LXNLGYHPWSMVIH-UHFFFAOYSA-N"
"CHEMBL1806766";"";"8-(3-Methylbutoxy)Caffeine";"Small molecule";"";"280.33";"3";"5";"0.40";"71.05";"7";"0";"0";"4";"N";"0.81";"None";"None";"1.59";"1.59";"2";"MOL";"-1";"20";"7";"0";"0";"280.1535";"-0.92";"NEUTRAL";"C13H20N4O3";"CC(C)CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"AVUUYGRJEZCAIE-UHFFFAOYSA-N"
"CHEMBL4098211";"";"";"Small molecule";"";"240.29";"4";"7";"-0.31";"61.82";"7";"0";"0";"1";"N";"0.64";"None";"None";"0.77";"0.77";"2";"MOL";"-1";"16";"6";"0";"0";"240.0681";"-1.67";"NEUTRAL";"C9H12N4O2S";"CSc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"BWSVUTTVMCSWHS-UHFFFAOYSA-N"
"CHEMBL1927669";"";"8-{[(4-Chlorophenyl)Methyl]Sulfanyl}Caffeine";"Small molecule";"";"350.83";"5";"7";"1.92";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"2.99";"2.99";"3";"MOL";"-1";"23";"6";"0";"0";"350.0604";"-1.87";"NEUTRAL";"C15H15ClN4O2S";"Cn1c(=O)c2c(nc(SCc3ccc(Cl)cc3)n2C)n(C)c1=O";"WYVAFDXXXLTIGO-UHFFFAOYSA-N"
"CHEMBL1806760";"";"8-(4-Bromobenzyloxy)Caffeine";"Small molecule";"";"379.21";"3";"7";"1.31";"71.05";"7";"0";"0";"3";"N";"0.69";"None";"None";"2.47";"2.47";"3";"MOL";"-1";"23";"7";"0";"0";"378.0328";"-1.08";"NEUTRAL";"C15H15BrN4O3";"Cn1c(=O)c2c(nc(OCc3ccc(Br)cc3)n2C)n(C)c1=O";"RZISBMGQTVZYRK-UHFFFAOYSA-N"
"CHEMBL1523163";"";"";"Small molecule";"";"268.34";"13";"17";"0.47";"61.82";"7";"0";"0";"3";"N";"0.76";"None";"None";"1.54";"1.54";"2";"MOL";"-1";"18";"6";"0";"0";"268.0994";"-1.78";"NEUTRAL";"C11H16N4O2S";"CCCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"NQAOTSAYIYBMOK-UHFFFAOYSA-N"
"CHEMBL1806761";"";"";"Small molecule";"";"304.35";"3";"5";"0.71";"71.05";"7";"0";"0";"3";"N";"0.78";"None";"None";"1.73";"1.73";"2";"MOL";"-1";"22";"7";"0";"0";"304.1535";"-0.73";"NEUTRAL";"C15H20N4O3";"Cn1c(=O)c2c(nc(OCC3CC=CCC3)n2C)n(C)c1=O";"LSFNRECFUWLSQW-UHFFFAOYSA-N"
"CHEMBL2088301";"";"8-(3-Bromophenoxymethyl)Caffeine";"Small molecule";"";"379.21";"3";"8";"1.31";"71.05";"7";"0";"0";"3";"N";"0.69";"None";"None";"1.86";"1.86";"3";"MOL";"-1";"23";"7";"0";"0";"378.0328";"-1.58";"NEUTRAL";"C15H15BrN4O3";"Cn1c(=O)c2c(nc(COc3cccc(Br)c3)n2C)n(C)c1=O";"HERBMOIYZSSPJE-UHFFFAOYSA-N"
"CHEMBL4555320";"";"";"Unknown";"";"339.45";"3";"10";"0.44";"65.06";"8";"0";"0";"1";"N";"0.55";"None";"None";"1.63";"1.63";"2";"MOL";"-1";"22";"7";"0";"0";"339.0824";"-1.53";"NEUTRAL";"C13H17N5O2S2";"Cn1c(=O)c2c(nc(SC(=S)N3CCCC3)n2C)n(C)c1=O";"DYZDAMPIXZPUBE-UHFFFAOYSA-N"
"CHEMBL1806758";"";"8-(3-Phenylpropoxy)Caffeine";"Small molecule";"";"328.37";"3";"5";"0.98";"71.05";"7";"0";"0";"5";"N";"0.65";"None";"None";"2.44";"2.44";"3";"MOL";"-1";"24";"7";"0";"0";"328.1535";"-0.88";"NEUTRAL";"C17H20N4O3";"Cn1c(=O)c2c(nc(OCCCc3ccccc3)n2C)n(C)c1=O";"AUBFXQRKTWFZBH-UHFFFAOYSA-N"
"CHEMBL1806768";"";"";"Small molecule";"";"409.24";"3";"9";"1.19";"80.28";"8";"0";"0";"5";"N";"0.59";"None";"None";"2.39";"2.39";"3";"MOL";"-1";"25";"8";"0";"0";"408.0433";"-1.16";"NEUTRAL";"C16H17BrN4O4";"Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O";"AAFQEIUAVWYQTJ-UHFFFAOYSA-N"
"CHEMBL1806759";"";"8-(4-Chlorobenzyloxy)Caffeine";"Small molecule";"";"334.76";"5";"10";"1.20";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"2.31";"2.31";"3";"MOL";"-1";"23";"7";"0";"0";"334.0833";"-1.20";"NEUTRAL";"C15H15ClN4O3";"Cn1c(=O)c2c(nc(OCc3ccc(Cl)cc3)n2C)n(C)c1=O";"JCVDCQUBUORXOS-UHFFFAOYSA-N"
"CHEMBL483663";"";"";"Small molecule";"";"322.37";"2";"4";"1.70";"61.82";"6";"0";"0";"3";"N";"0.69";"None";"None";"2.55";"2.55";"3";"MOL";"-1";"24";"6";"0";"0";"322.1430";"-0.52";"NEUTRAL";"C18H18N4O2";"Cn1c(=O)c2c(nc(/C=C/C=C/c3ccccc3)n2C)n(C)c1=O";"NDTZOLIJIQKCRC-MKICQXMISA-N"
"CHEMBL2088321";"";"8-{[(4-Chlorophenyl)Sulfanyl]Ethyl}Caffeine";"Small molecule";"";"364.86";"3";"3";"1.96";"61.82";"7";"0";"0";"4";"N";"0.66";"None";"None";"2.62";"2.62";"3";"MOL";"-1";"24";"6";"0";"0";"364.0761";"-1.68";"NEUTRAL";"C16H17ClN4O2S";"Cn1c(=O)c2c(nc(CCSc3ccc(Cl)cc3)n2C)n(C)c1=O";"IAFNAPRPMDJAAE-UHFFFAOYSA-N"
"CHEMBL1806764";"";"8-[2-(Benzyloxy)Ethoxy]Caffeine";"Small molecule";"";"344.37";"3";"5";"0.57";"80.28";"8";"0";"0";"6";"N";"0.61";"None";"None";"1.66";"1.66";"3";"MOL";"-1";"25";"8";"0";"0";"344.1485";"-1.15";"NEUTRAL";"C17H20N4O4";"Cn1c(=O)c2c(nc(OCCOCc3ccccc3)n2C)n(C)c1=O";"DGRYDLBMVMQPGB-UHFFFAOYSA-N"
"CHEMBL519984";"";"8-(3-Chlorobenzyl)Caffeine";"Small molecule";"";"318.76";"1";"1";"1.21";"61.82";"6";"0";"0";"2";"N";"0.71";"None";"None";"2.02";"2.02";"3";"MOL";"-1";"22";"6";"0";"0";"318.0884";"-1.48";"NEUTRAL";"C15H15ClN4O2";"Cn1c(=O)c2c(nc(Cc3cccc(Cl)c3)n2C)n(C)c1=O";"PSZOSCNJDRXUOK-UHFFFAOYSA-N"
"CHEMBL1158";"PARAXANTHINE";"NSC-400018|PARAXANTHINE|Paraxanthine(72%)";"Small molecule";"0.5";"180.17";"28";"44";"-1.04";"72.68";"5";"1";"0";"0";"N";"0.56";"10.91";"None";"0.24";"0.24";"2";"MOL";"0";"13";"6";"1";"0";"180.0647";"-0.69";"NEUTRAL";"C7H8N4O2";"Cn1c(=O)[nH]c2ncn(C)c2c1=O";"QUNWUDVFRNGTCO-UHFFFAOYSA-N"
"CHEMBL2206105";"";"8-[(3-Chlorobenzyl)Sulfanyl]Caffeine";"Small molecule";"";"350.83";"3";"3";"1.92";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"2.99";"2.99";"3";"MOL";"-1";"23";"6";"0";"0";"350.0604";"-2.11";"NEUTRAL";"C15H15ClN4O2S";"Cn1c(=O)c2c(nc(SCc3cccc(Cl)c3)n2C)n(C)c1=O";"LQFJUZBJVUNYPM-UHFFFAOYSA-N"
"CHEMBL1806763";"";"8-(2-Phenoxyethoxy)Caffeine";"Small molecule";"";"330.34";"3";"5";"0.43";"80.28";"8";"0";"0";"5";"N";"0.63";"None";"None";"1.62";"1.62";"3";"MOL";"-1";"24";"8";"0";"0";"330.1328";"-1.14";"NEUTRAL";"C16H18N4O4";"Cn1c(=O)c2c(nc(OCCOc3ccccc3)n2C)n(C)c1=O";"QLZYGYDYCYXHIQ-UHFFFAOYSA-N"
"CHEMBL1451750";"";"8-(Benzylamino)Caffeine";"Small molecule";"";"299.33";"6";"8";"0.58";"73.85";"7";"1";"0";"3";"N";"0.77";"None";"None";"1.34";"1.34";"3";"MOL";"-1";"22";"7";"1";"0";"299.1382";"-1.35";"NEUTRAL";"C15H17N5O2";"Cn1c(=O)c2c(nc(NCc3ccccc3)n2C)n(C)c1=O";"LBVXMQUYMRVXIJ-UHFFFAOYSA-N"
"CHEMBL1806765";"";"8-[(5-Methylhexyl)Oxy]Caffeine";"Small molecule";"";"308.38";"3";"5";"1.18";"71.05";"7";"0";"0";"6";"N";"0.75";"None";"None";"2.48";"2.48";"2";"MOL";"-1";"22";"7";"0";"0";"308.1848";"-0.68";"NEUTRAL";"C15H24N4O3";"CC(C)CCCCOc1nc2c(c(=O)n(C)c(=O)n2C)n1C";"SZLOOMJZVZHPSC-UHFFFAOYSA-N"
"CHEMBL589765";"";"8-(3-Methylbenzyloxy)Caffeine";"Small molecule";"";"314.35";"3";"7";"0.86";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"2.22";"2.22";"3";"MOL";"-1";"23";"7";"0";"0";"314.1379";"-1.19";"NEUTRAL";"C16H18N4O3";"Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"AFSVTGXZVYXITM-UHFFFAOYSA-N"
"CHEMBL2206091";"";"";"Small molecule";"";"344.44";"4";"4";"1.61";"61.82";"7";"0";"0";"4";"N";"0.67";"None";"None";"3.19";"3.19";"3";"MOL";"-1";"24";"6";"0";"0";"344.1307";"-1.57";"NEUTRAL";"C17H20N4O2S";"Cc1ccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1";"DGSRDHSYJYNQOI-UHFFFAOYSA-N"
"CHEMBL1806767";"";"";"Small molecule";"";"364.79";"3";"5";"1.08";"80.28";"8";"0";"0";"5";"N";"0.63";"None";"None";"2.23";"2.23";"3";"MOL";"-1";"25";"8";"0";"0";"364.0938";"-1.27";"NEUTRAL";"C16H17ClN4O4";"Cn1c(=O)c2c(nc(OCCOc3ccc(Cl)cc3)n2C)n(C)c1=O";"XPLFQPMQLCSNFG-UHFFFAOYSA-N"
"CHEMBL1927678";"";"8-[(3-Phenylpropyl)Amino]Caffeine";"Small molecule";"";"327.39";"2";"2";"1.02";"73.85";"7";"1";"0";"5";"N";"0.71";"None";"None";"2.07";"2.07";"3";"MOL";"-1";"24";"7";"1";"0";"327.1695";"-1.17";"NEUTRAL";"C17H21N5O2";"Cn1c(=O)c2c(nc(NCCCc3ccccc3)n2C)n(C)c1=O";"SKQFDCUGMWKOAL-UHFFFAOYSA-N"
"CHEMBL2088315";"";"8-{[(3-Ethoxyphenyl)Sulfanyl]Methyl}Caffeine";"Small molecule";"";"360.44";"3";"3";"1.66";"71.05";"8";"0";"0";"5";"N";"0.65";"None";"None";"1.77";"1.77";"3";"MOL";"-1";"25";"7";"0";"0";"360.1256";"-1.73";"NEUTRAL";"C17H20N4O3S";"CCOc1cccc(SCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"LOQGOZKKPBGUFP-UHFFFAOYSA-N"
"CHEMBL1400294";"";"8-(3-Phenylethoxy)Caffeine";"Small molecule";"";"314.35";"17";"20";"0.59";"71.05";"7";"0";"0";"4";"N";"0.71";"None";"None";"1.99";"1.99";"3";"MOL";"-1";"23";"7";"0";"0";"314.1379";"-0.89";"NEUTRAL";"C16H18N4O3";"Cn1c(=O)c2c(nc(OCCc3ccccc3)n2C)n(C)c1=O";"XEJFGTMHCXBIOL-UHFFFAOYSA-N"
"CHEMBL1927676";"";"8-(Phenylamino)Caffeine";"Small molecule";"";"285.31";"2";"2";"0.71";"73.85";"7";"1";"0";"2";"N";"0.75";"None";"None";"1.58";"1.58";"3";"MOL";"-1";"21";"7";"1";"0";"285.1226";"-1.35";"NEUTRAL";"C14H15N5O2";"Cn1c(=O)c2c(nc(Nc3ccccc3)n2C)n(C)c1=O";"WPNLZMXRXPPHHH-UHFFFAOYSA-N"
"CHEMBL1927673";"";"8-(Cyclohexylsulfanyl)Caffeine";"Small molecule";"";"308.41";"3";"3";"1.40";"61.82";"7";"0";"0";"2";"N";"0.84";"None";"None";"2.36";"2.36";"2";"MOL";"-1";"21";"6";"0";"0";"308.1307";"-1.29";"NEUTRAL";"C14H20N4O2S";"Cn1c(=O)c2c(nc(SC3CCCCC3)n2C)n(C)c1=O";"NEFKNYNCURZLRJ-UHFFFAOYSA-N"
"CHEMBL2206104";"";"";"Small molecule";"";"378.89";"4";"4";"2.35";"61.82";"7";"0";"0";"5";"N";"0.50";"None";"None";"3.72";"3.72";"3";"MOL";"-1";"25";"6";"0";"0";"378.0917";"-1.75";"NEUTRAL";"C17H19ClN4O2S";"Cn1c(=O)c2c(nc(SCCCc3cccc(Cl)c3)n2C)n(C)c1=O";"OIMZSBPQQFCVRU-UHFFFAOYSA-N"
"CHEMBL2206103";"";"";"Small molecule";"";"378.89";"4";"4";"2.35";"61.82";"7";"0";"0";"5";"N";"0.50";"None";"None";"3.72";"3.72";"3";"MOL";"-1";"25";"6";"0";"0";"378.0917";"-1.61";"NEUTRAL";"C17H19ClN4O2S";"Cn1c(=O)c2c(nc(SCCCc3ccc(Cl)cc3)n2C)n(C)c1=O";"IZVRELZBGYVCCR-UHFFFAOYSA-N"
"CHEMBL2206095";"";"";"Small molecule";"";"398.41";"4";"6";"2.32";"61.82";"7";"0";"0";"4";"N";"0.63";"None";"None";"3.55";"3.55";"3";"MOL";"-1";"27";"6";"0";"0";"398.1024";"-1.77";"NEUTRAL";"C17H17F3N4O2S";"Cn1c(=O)c2c(nc(SCCc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O";"RUHCAPWIMWHPCB-UHFFFAOYSA-N"
"CHEMBL194732";"";"";"Small molecule";"";"334.81";"1";"1";"1.43";"55.89";"4";"1";"0";"2";"N";"0.89";"None";"5.57";"2.28";"2.28";"1";"MOL";"-1";"23";"6";"1";"0";"334.1197";"-0.27";"NEUTRAL";"C16H19ClN4O2";"CN1C(=O)C2NC(/C=C/c3cccc(Cl)c3)N(C)C2N(C)C1=O";"JTPRUPCZQCGCFK-BQYQJAHWSA-N"
"CHEMBL1927668";"";"8-[(2-Phenoxyethyl)Sulfanyl]Caffeine";"Small molecule";"";"346.41";"3";"3";"1.14";"71.05";"8";"0";"0";"5";"N";"0.51";"None";"None";"2.15";"2.15";"3";"MOL";"-1";"24";"7";"0";"0";"346.1100";"-1.74";"NEUTRAL";"C16H18N4O3S";"Cn1c(=O)c2c(nc(SCCOc3ccccc3)n2C)n(C)c1=O";"MBWPYWXSJLMKGV-UHFFFAOYSA-N"
"CHEMBL3959868";"";"";"Small molecule";"";"330.34";"3";"3";"0.56";"80.28";"8";"0";"0";"4";"N";"0.70";"None";"None";"0.94";"0.94";"3";"MOL";"-1";"24";"8";"0";"0";"330.1328";"-1.21";"NEUTRAL";"C16H18N4O4";"COc1ccc(OCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1";"REFATGMBETVTMJ-UHFFFAOYSA-N"
"CHEMBL3932364";"";"";"Small molecule";"";"314.35";"3";"3";"0.86";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"1.61";"1.61";"3";"MOL";"-1";"23";"7";"0";"0";"314.1379";"-1.41";"NEUTRAL";"C16H18N4O3";"Cc1ccc(OCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1";"VWGKDBRCUTZMDX-UHFFFAOYSA-N"
"CHEMBL1927665";"";"8-(Phenylsulfanyl)Caffeine";"Small molecule";"";"302.36";"5";"13";"1.12";"61.82";"7";"0";"0";"2";"N";"0.71";"None";"None";"2.33";"2.33";"3";"MOL";"-1";"21";"6";"0";"0";"302.0837";"-1.50";"NEUTRAL";"C14H14N4O2S";"Cn1c(=O)c2c(nc(Sc3ccccc3)n2C)n(C)c1=O";"VMIXDAFJXJRPOL-UHFFFAOYSA-N"
"CHEMBL2206089";"";"";"Small molecule";"";"348.40";"3";"3";"1.44";"61.82";"7";"0";"0";"4";"N";"0.67";"None";"None";"2.82";"2.82";"3";"MOL";"-1";"24";"6";"0";"0";"348.1056";"-1.78";"NEUTRAL";"C16H17FN4O2S";"Cn1c(=O)c2c(nc(SCCc3ccc(F)cc3)n2C)n(C)c1=O";"DPUJGWMNIZFOOP-UHFFFAOYSA-N"
"CHEMBL1927684";"";"8-[Methyl(4-Phenylbutyl)Amino]Caffeine";"Small molecule";"";"355.44";"3";"7";"1.43";"65.06";"7";"0";"0";"6";"N";"0.63";"None";"None";"3.15";"3.15";"3";"MOL";"-1";"26";"7";"0";"0";"355.2008";"-0.96";"NEUTRAL";"C19H25N5O2";"CN(CCCCc1ccccc1)c1nc2c(c(=O)n(C)c(=O)n2C)n1C";"WYCGJAVKHRDNCK-UHFFFAOYSA-N"
"CHEMBL2206092";"";"";"Small molecule";"";"360.44";"4";"4";"1.31";"71.05";"8";"0";"0";"5";"N";"0.64";"None";"None";"2.52";"2.52";"3";"MOL";"-1";"25";"7";"0";"0";"360.1256";"-1.41";"NEUTRAL";"C17H20N4O3S";"COc1ccc(CCSc2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1";"VWUGZHNYYIMLGZ-UHFFFAOYSA-N"
"CHEMBL1927679";"";"8-[(4-Phenylbutyl)Amino]Caffeine";"Small molecule";"";"341.42";"3";"3";"1.41";"73.85";"7";"1";"0";"6";"N";"0.69";"None";"None";"2.51";"2.51";"3";"MOL";"-1";"25";"7";"1";"0";"341.1852";"-1.04";"NEUTRAL";"C18H23N5O2";"Cn1c(=O)c2c(nc(NCCCCc3ccccc3)n2C)n(C)c1=O";"LIIQCWIUPFXOSZ-UHFFFAOYSA-N"
"CHEMBL2088317";"";"8-{[(4-Bromophenyl)Sulfanyl]Methyl}Caffeine";"Small molecule";"";"395.28";"3";"3";"2.03";"61.82";"7";"0";"0";"3";"N";"0.64";"None";"None";"2.34";"2.34";"3";"MOL";"-1";"23";"6";"0";"0";"394.0099";"-1.64";"NEUTRAL";"C15H15BrN4O2S";"Cn1c(=O)c2c(nc(CSc3ccc(Br)cc3)n2C)n(C)c1=O";"HSOWNUHKXAAJKJ-UHFFFAOYSA-N"
"CHEMBL4587435";"";"";"Unknown";"";"282.37";"3";"6";"0.86";"61.82";"7";"0";"0";"1";"N";"0.73";"None";"None";"1.51";"1.51";"2";"MOL";"-1";"19";"6";"0";"0";"282.1150";"-1.31";"NEUTRAL";"C12H18N4O2S";"Cn1c(=O)c2c(nc(SC(C)(C)C)n2C)n(C)c1=O";"SCBHDOGXWVVFNR-UHFFFAOYSA-N"
"CHEMBL2088304";"";"8-(3-Methylphenoxymethyl)Caffeine";"Small molecule";"";"314.35";"3";"3";"0.86";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"1.61";"1.61";"3";"MOL";"-1";"23";"7";"0";"0";"314.1379";"-1.56";"NEUTRAL";"C16H18N4O3";"Cc1cccc(OCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"KJEMCSSOYMYLRT-UHFFFAOYSA-N"
"CHEMBL483662";"";"8-(3-Trifluoromethylbenzyl)Caffeine";"Small molecule";"";"352.32";"1";"1";"1.58";"61.82";"6";"0";"0";"2";"N";"0.70";"None";"None";"2.29";"2.29";"3";"MOL";"-1";"25";"6";"0";"0";"352.1147";"-1.45";"NEUTRAL";"C16H15F3N4O2";"Cn1c(=O)c2c(nc(Cc3cccc(C(F)(F)F)c3)n2C)n(C)c1=O";"PDAJOVYHIHMGNT-UHFFFAOYSA-N"
"CHEMBL280982";"";"8-(3,4-Dimethoxystyryl)Caffeine";"Small molecule";"";"356.38";"5";"8";"1.16";"80.28";"8";"0";"0";"4";"N";"0.70";"None";"None";"1.70";"1.70";"3";"MOL";"-1";"26";"8";"0";"0";"356.1485";"-0.61";"NEUTRAL";"C18H20N4O4";"COc1ccc(/C=C/c2nc3c(c(=O)n(C)c(=O)n3C)n2C)cc1OC";"QTVJUPYVJXQCDT-VQHVLOKHSA-N"
"CHEMBL602465";"";"8-(3-Fluorobenzyloxy)Caffeine";"Small molecule";"";"318.31";"3";"7";"0.69";"71.05";"7";"0";"0";"3";"N";"0.71";"None";"None";"1.85";"1.85";"3";"MOL";"-1";"23";"7";"0";"0";"318.1128";"-1.48";"NEUTRAL";"C15H15FN4O3";"Cn1c(=O)c2c(nc(OCc3cccc(F)c3)n2C)n(C)c1=O";"YAQZRUHNOYDFHZ-UHFFFAOYSA-N"
"CHEMBL602464";"";"8-(3-Bromobenzyloxy)Caffeine";"Small molecule";"";"379.21";"3";"8";"1.31";"71.05";"7";"0";"0";"3";"N";"0.69";"None";"None";"2.47";"2.47";"3";"MOL";"-1";"23";"7";"0";"0";"378.0328";"-1.23";"NEUTRAL";"C15H15BrN4O3";"Cn1c(=O)c2c(nc(OCc3cccc(Br)c3)n2C)n(C)c1=O";"UMXJQISLIGIYPW-UHFFFAOYSA-N"
"CHEMBL2088314";"";"8-{[(3-Methoxyphenyl)Sulfanyl]Methyl}Caffeine";"Small molecule";"";"346.41";"3";"3";"1.27";"71.05";"8";"0";"0";"4";"N";"0.67";"None";"None";"1.41";"1.41";"3";"MOL";"-1";"24";"7";"0";"0";"346.1100";"-1.56";"NEUTRAL";"C16H18N4O3S";"COc1cccc(SCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1";"RERGNMHDYBKPFW-UHFFFAOYSA-N"
"CHEMBL1200569";"CAFFEINE, CITRATED";"CAFFEINE CITRATE|CAFFEINE MIXTURE WITH CITRIC ACID|CAFFEINE, CITRATED|CITRATED CAFFEINE|Cafcit|PEYONA";"Small molecule";"4.0";"386.32";"4";"11";"-1.03";"61.82";"6";"0";"0";"0";"N";"0.54";"None";"None";"-0.55";"-0.55";"2";"MOL";"0";"14";"6";"0";"0";"194.0804";"-1.09";"NEUTRAL";"C14H18N4O9";"Cn1c(=O)c2c(ncn2C)n(C)c1=O.O=C(O)CC(O)(CC(=O)O)C(=O)O";"RCQXSQPPHJPGOF-UHFFFAOYSA-N"
"CHEMBL1927683";"";"8-[Methyl(2-Phenylethyl)Amino]Caffeine";"Small molecule";"";"327.39";"3";"3";"0.65";"65.06";"7";"0";"0";"4";"N";"0.71";"None";"None";"2.26";"2.26";"3";"MOL";"-1";"24";"7";"0";"0";"327.1695";"-1.07";"NEUTRAL";"C17H21N5O2";"CN(CCc1ccccc1)c1nc2c(c(=O)n(C)c(=O)n2C)n1C";"DHDMBCFMVUOZMM-UHFFFAOYSA-N"
"CHEMBL1927675";"";"";"Small molecule";"";"352.42";"3";"3";"2.28";"61.82";"7";"0";"0";"2";"N";"0.56";"None";"None";"3.32";"3.32";"4";"MOL";"-1";"25";"6";"0";"0";"352.0994";"-1.32";"NEUTRAL";"C18H16N4O2S";"Cn1c(=O)c2c(nc(Sc3ccc4ccccc4c3)n2C)n(C)c1=O";"OQMXKDJXCQXTQP-UHFFFAOYSA-N"
"CHEMBL2088316";"";"8-{[(4-Chlorophenyl)Sulfanyl]Methyl}Caffeine";"Small molecule";"";"350.83";"5";"7";"1.92";"61.82";"7";"0";"0";"3";"N";"0.68";"None";"None";"2.17";"2.17";"3";"MOL";"-1";"23";"6";"0";"0";"350.0604";"-1.75";"NEUTRAL";"C15H15ClN4O2S";"Cn1c(=O)c2c(nc(CSc3ccc(Cl)cc3)n2C)n(C)c1=O";"UMARSZKDTRUYJD-UHFFFAOYSA-N"
"CHEMBL522256";"";"";"Small molecule";"";"401.26";"2";"5";"2.46";"61.82";"6";"0";"0";"3";"N";"0.63";"None";"None";"3.32";"3.32";"3";"MOL";"-1";"25";"6";"0";"0";"400.0535";"-0.72";"NEUTRAL";"C18H17BrN4O2";"Cn1c(=O)c2c(nc(/C=C/C=C/c3cccc(Br)c3)n2C)n(C)c1=O";"YJBUYKLAHVOOFW-HOZCHFDZSA-N"
"CHEMBL2088322";"";"8-{[(4-Bromophenyl)Sulfanyl]Ethyl}Caffeine";"Small molecule";"";"409.31";"3";"3";"2.07";"61.82";"7";"0";"0";"4";"N";"0.62";"None";"None";"2.78";"2.78";"3";"MOL";"-1";"24";"6";"0";"0";"408.0256";"-1.57";"NEUTRAL";"C16H17BrN4O2S";"Cn1c(=O)c2c(nc(CCSc3ccc(Br)cc3)n2C)n(C)c1=O";"LMMXETZQNWAPNR-UHFFFAOYSA-N"
"CHEMBL2088319";"";"8-{[(3-Chlorophenyl)Sulfanyl]Ethyl}Caffeine";"Small molecule";"";"364.86";"2";"2";"1.96";"61.82";"7";"0";"0";"4";"N";"0.66";"None";"None";"2.62";"2.62";"3";"MOL";"-1";"24";"6";"0";"0";"364.0761";"-1.76";"NEUTRAL";"C16H17ClN4O2S";"Cn1c(=O)c2c(nc(CCSc3cccc(Cl)c3)n2C)n(C)c1=O";"NIJXXYSIPIACMQ-UHFFFAOYSA-N"
"CHEMBL602260";"";"8-(3-Chlorobenzyloxy)Caffeine";"Small molecule";"";"334.76";"3";"10";"1.20";"71.05";"7";"0";"0";"3";"N";"0.72";"None";"None";"2.31";"2.31";"3";"MOL";"-1";"23";"7";"0";"0";"334.0833";"-1.39";"NEUTRAL";"C15H15ClN4O3";"Cn1c(=O)c2c(nc(OCc3cccc(Cl)c3)n2C)n(C)c1=O";"XCVMGVIPMZLFEU-UHFFFAOYSA-N"
"CHEMBL1927677";"";"8-[(2-Phenylethyl)Amino]Caffeine";"Small molecule";"";"313.36";"3";"3";"0.63";"73.85";"7";"1";"0";"4";"N";"0.77";"None";"None";"1.62";"1.62";"3";"MOL";"-1";"23";"7";"1";"0";"313.1539";"-1.19";"NEUTRAL";"C16H19N5O2";"Cn1c(=O)c2c(nc(NCCc3ccccc3)n2C)n(C)c1=O";"PDMRCZKKXHBCCP-UHFFFAOYSA-N"
